,ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
46,2022-11-07 00:00:00+00:00,35,2,3163,129.81,133.4,129.81,130.18,996787,EA
47,2022-11-08 00:00:00+00:00,35,2,3164,130.32,131.48,127.81,129.45,857910,EA
48,2022-11-09 00:00:00+00:00,35,2,3165,128.58,129.11,126.0,126.35,1051321,EA
49,2022-11-10 00:00:00+00:00,35,2,3166,126.99,131.55,126.99,130.1,1167094,EA
50,2022-11-11 00:00:00+00:00,35,2,3164,131.63,131.99,128.42,130.73,794492,EA
51,2022-11-14 00:00:00+00:00,35,2,3164,129.88,131.68,129.48,130.0,819175,EA
52,2022-11-15 00:00:00+00:00,35,2,3160,128.29,132.46,127.1,129.55,926783,EA
53,2022-11-16 00:00:00+00:00,35,2,3160,131.51,131.51,128.01,129.53,633025,EA
54,2022-11-17 00:00:00+00:00,35,2,3160,128.4,129.62,125.94,128.65,578950,EA
55,2022-11-18 00:00:00+00:00,35,2,3160,129.53,130.28,128.45,130.04,850532,EA
56,2022-11-21 00:00:00+00:00,35,2,3160,128.71,131.11,126.4,127.0,835778,EA
57,2022-11-22 00:00:00+00:00,35,2,3160,128.5,129.65,127.02,129.01,601051,EA
58,2022-11-23 00:00:00+00:00,35,2,3152,130.2,131.63,129.44,131.27,555117,EA
59,2022-11-25 00:00:00+00:00,35,2,3153,130.36,130.96,128.3,129.5,396952,EA
60,2022-11-28 00:00:00+00:00,35,2,3153,127.3,130.09,127.3,128.0,644477,EA
61,2022-11-29 00:00:00+00:00,35,2,3153,128.63,128.71,126.89,127.62,596698,EA
62,2022-11-30 00:00:00+00:00,35,2,3153,127.52,131.48,126.76,130.78,1142821,EA
63,2022-12-01 00:00:00+00:00,35,2,3155,130.01,132.07,129.99,131.3,731560,EA
64,2022-12-02 00:00:00+00:00,35,2,3151,130.41,132.85,129.46,131.94,508698,EA
65,2022-12-05 00:00:00+00:00,35,2,3150,131.01,133.34,130.01,130.42,767892,EA
66,2022-12-06 00:00:00+00:00,35,2,3149,130.65,130.65,126.77,126.79,743570,EA
67,2022-12-07 00:00:00+00:00,35,2,3151,127.76,128.0,125.33,126.07,663359,EA
68,2022-12-08 00:00:00+00:00,35,2,3148,126.01,127.7,125.25,126.48,805877,EA
69,2022-12-09 00:00:00+00:00,35,2,3143,125.6,126.1,124.28,124.75,777895,EA
70,2022-12-12 00:00:00+00:00,35,2,3137,124.49,126.12,123.47,125.47,744925,EA
71,2022-12-13 00:00:00+00:00,35,2,3133,125.05,130.37,124.43,125.69,1055094,EA
72,2022-12-14 00:00:00+00:00,35,2,3133,125.59,126.7,123.77,124.67,792480,EA
73,2022-12-15 00:00:00+00:00,35,2,3131,124.73,124.81,121.0,121.47,841055,EA
74,2022-12-16 00:00:00+00:00,35,2,3126,121.49,121.99,119.92,121.55,2429676,EA
75,2022-12-19 00:00:00+00:00,35,2,3124,121.88,122.12,120.36,120.93,792348,EA
76,2022-12-20 00:00:00+00:00,35,2,3124,120.11,122.08,119.95,120.36,596182,EA
77,2022-12-21 00:00:00+00:00,35,2,3114,123.5,123.5,120.19,122.5,747406,EA
78,2022-12-22 00:00:00+00:00,35,2,3114,121.78,122.21,120.25,121.01,671873,EA
79,2022-12-23 00:00:00+00:00,35,2,3105,122.45,122.45,120.58,121.56,402787,EA
